Gene Symbols,Fold Change,P-Value
CEL,-3.334014874810208,0.005986020890704804
REG4,3.0326086454606993,0.0002904353791212172
SLC44A4,2.017970542522357,6.946753779298619e-07
POSTN,2.2222229283703934,6.623420097768766e-06
CD55,2.028141232278623,2.749058370320492e-08
MTMR11,2.021193590788421,4.803679172264163e-08
AQP12A /// AQP12B,-2.5902764594782313,0.000352720660909233
NR5A2,-2.242456761017288,0.00011199651606693114
PDK4,-2.5599673460198407,4.8139407084172714e-08
ALB,-3.402003631171738,6.195361814279607e-05
SLC2A1,2.4368421000028113,6.88696065860748e-14
SDC1,2.1474957240314327,3.1138207601231823e-14
TOP2A,2.115640435736524,1.2082699061421254e-08
NQO1,2.6084603173406147,1.2335398466305309e-11
NQO1,2.2839134061913935,5.712133962978213e-10
KRT19,3.678805534126753,1.6637329411637497e-11
CEACAM5,6.303156363671796,7.198645308895979e-10
CD55,2.0117986685529052,1.513893562627562e-08
SEL1L,-2.0666839117017255,8.409326665147374e-05
LY6E,2.073383610350732,9.714059346767705e-08
LAMC2,3.2373159039173935,3.7527671364275044e-11
IFI27,2.591682249710472,8.89939258644393e-10
FXYD3,2.398255102080843,1.2641077694964012e-09
TRIM29,4.438315934962145,2.040429010095917e-12
GPX2,2.6061437006478623,8.596670710960305e-08
MIR6787 /// SLC16A3,2.094950188888847,3.4133249895683383e-09
MIR6787 /// SLC16A3,2.5332496827568196,4.4326039630618103e-10
CXCL8,2.4010798372865554,2.4020287683521055e-06
ANPEP,-2.3506807892728747,5.258980611052543e-05
HK2,2.2032485592389826,1.287147108716113e-11
C7,-2.0044056361627725,1.4207406413811247e-05
SLPI,2.5684108398470813,2.075285512140614e-11
ANXA8 /// ANXA8L1,2.2960149793822033,6.269732537099482e-06
GPRC5A,3.559522927193733,2.1495145805141876e-10
GATM,-2.1088788344103966,0.00012634150132000005
CDH3,2.169068438520136,4.983769504349614e-09
MET,2.0453029178921733,1.1939338603049233e-12
AOC1,2.9088823280351375,6.230952833422811e-09
PI3,2.2050949908081265,7.519021098919444e-07
LAMA3,2.611934844664389,4.452261478755283e-09
CEACAM6,4.045360174510082,3.67016072119842e-08
IGF2BP3,2.438380074297707,2.1837086194147759e-07
IGF2BP3,2.545425856182609,3.482597027172195e-08
MMP11,2.178559355855255,3.9542053949483874e-07
MMP11,2.713536546572183,2.306426261086522e-08
DMD,-2.121102567799101,2.639253598924172e-07
WFDC2,2.14690334011467,1.5317305078885022e-09
SLC4A4,-2.0293197087475963,0.0005930548641729949
GSTA1,-2.4622187453109237,1.10925606056279e-05
S100A2,2.3471253853161174,7.645381089903873e-06
LGALS4,2.0277941761646496,3.434651566291627e-05
COL11A1,3.172014369726949,2.8043624021714542e-08
S100P,6.30429120439383,2.3071094386950417e-12
IFI6,2.031238389425448,1.6792836958339209e-06
LMO3,-2.2163572224921873,6.783047345120708e-08
MMP1,2.341582352220928,5.1768532874936826e-05
UGT1A1 /// UGT1A10 /// UGT1A4 /// UGT1A6 /// UGT1A8 /// UGT1A9,2.094373690447737,1.1302468988700754e-05
MMP12,2.4897770630874176,4.623375039212298e-05
DKK1,3.102553305985197,6.100240174807018e-09
SERPINB2,2.360746656511106,9.699218935625862e-06
COL17A1,2.0676916999860726,1.4008528598130517e-06
TFAP2A,2.2950912795683345,2.517779704023413e-10
F5,2.0297645508015236,1.045608524218009e-06
KLK6,2.1232111501377076,6.668274684686824e-05
MT1G,-2.035263818768846,9.690814530246246e-08
SERPINB5,3.5846135548032074,5.002550460328716e-11
MSLN,3.485886497839994,5.5360196940042686e-11
TFF1,3.864656019488081,4.3881518531603833e-07
ITGA2,2.160554544756551,2.0319252694218958e-10
GABRP,2.910049950336576,6.2678479523926835e-06
SPRR1B,2.143454818612013,0.00036428857094220936
MTMR11,2.285863007965267,2.261273354067999e-08
CRIP1,2.0844142242212893,3.9595948448870925e-08
AOX1,-2.127524124735153,2.1747854440028535e-07
AOX1,-2.7872054087644904,1.502262488691518e-07
JUP /// KRT17,2.6105483466228985,2.171700717427299e-07
FGL1,-2.6017008158984725,0.00019903270360819024
PSCA,2.9908436048910123,1.7135054472692986e-06
SULT1C2,2.1241452233173894,3.9346493729043895e-05
PRSS2,-2.244629264596146,0.013625929739450076
MST1R,2.2788109833465016,3.704731846123853e-10
HS3ST1,2.498263825754428,1.2959898105629197e-09
CCL20,2.6654023611083866,1.8709722791018844e-07
PLAU,2.1930465362675844,4.929312849214949e-07
GJB3,2.054716194711122,2.0845221266535127e-12
CPB1,-3.0277925037198297,0.015921608290135673
TCN1,2.591167141234863,1.9271049489898723e-05
OAS1,2.022270549258765,4.4931618317828256e-09
SLC44A4,2.3711461461649437,4.629892762135257e-08
CPA1,-3.317027653438063,0.011775223713654987
OASL,2.141724682653347,6.10621073575246e-10
AKAP7,-2.1879213467983756,9.461971742187538e-08
REG3A,-2.49790859913648,0.0178540111523383
PRSS1 /// PRSS2,-2.5667667617290646,0.021796876184653723
REG1B,-3.4669992854285034,0.002816422232073784
CEL,-3.6256326959822887,0.00455890591154213
PNLIP,-2.8284710613241577,0.027145002540911137
CTSE,3.862016856014319,1.0436814200594732e-09
COL10A1,2.9833919861418736,1.0018641460626903e-07
KCNK3,-2.3240030106081524,5.294188044360691e-06
PDK4,-2.4937876861092985,2.483544402529323e-09
CTRB1 /// CTRB2,-3.1809228652016843,0.0116240867397573
DPEP1,-2.0776433375028778,1.1384618810291254e-05
NMU,2.7217575923862194,4.0268957268937635e-09
ACADL,-2.168852314702451,1.157162894382563e-06
UGT1A1 /// UGT1A10 /// UGT1A3 /// UGT1A4 /// UGT1A5 /// UGT1A6 /// UGT1A7 /// UGT1A8 /// UGT1A9,2.2259625021640654,4.2141938535953285e-06
CLPS,-3.166906420826906,0.011548951561462073
CELA3B,-3.1446662454183767,0.00858888246906395
CPA2,-4.006546943475078,0.0011857965384263762
CST1,2.422248009338908,3.6825707561688975e-05
EGF,-2.4704304930391063,5.472845061832108e-05
LEFTY1,-2.121129976181441,0.001000163330952257
CTRC,-3.3844057210066887,0.00547170962602375
PLA2G1B,-3.644658768345647,0.005123521382689527
CELA2A /// CELA2B,-3.280465819421675,0.012980176427931563
CELA2A /// CELA2B,-3.1981171820845757,0.010600410678563533
PTK6,2.2824823844515416,4.647830646868995e-11
MIA,2.3081227799949753,2.2606444963233883e-08
AKR1B10,2.0030902184986,0.0006878706456726665
INS,-2.420183339197549,0.020748248040267904
GP2,-3.208769328756252,0.0034129362203480394
PDIA2,-3.4377984042500396,0.00021002521681146702
PNLIPRP1,-4.259192933455361,0.0007984278291178231
AQP8,-3.152380174958597,0.00024244068584529545
SCEL,2.6533316618395566,3.007638944135145e-08
IAPP,-2.6446723924484257,0.0002382553814684829
CELA2B,-3.3461301515056223,0.001852667588881798
UGT1A1 /// UGT1A10 /// UGT1A4 /// UGT1A6 /// UGT1A8 /// UGT1A9,2.4313614011087767,1.548722482323926e-06
CELP,-4.104865827407872,0.0008674249936576851
PRSS3,-2.416459906921842,0.0038638244232232903
LAMC2,2.458194955668784,1.3997531729346446e-09
SERPINI2,-3.960220747926347,0.00017621237167206625
REG1P,-2.5515456580308236,7.732604075530892e-05
ITGB6 /// LOC100505984,2.191112063293296,1.5481761761331215e-08
CYP2C18,2.086928816685237,1.6246568811721637e-06
DMBT1,2.025795705477751,0.0012925652968180325
NR5A2,-2.0043931487589224,2.41951249081723e-05
NR5A2,-2.080753786596838,8.176580562016622e-06
LGALS2,-2.2200262421171755,9.384796717157159e-05
GP2,-3.3280791416502984,0.0042822391385707375
ACTG1P4 /// AMY1A /// AMY1B /// AMY1C /// AMY2A /// AMY2B,-2.5410899261934223,0.010337683693729402
UGT1A1 /// UGT1A10 /// UGT1A3 /// UGT1A4 /// UGT1A5 /// UGT1A6 /// UGT1A7 /// UGT1A8 /// UGT1A9,2.3635972618707086,1.1621140401420188e-06
KRT7,2.552324458553701,4.5590202713222854e-09
TSPAN1,2.9424292451409397,4.394049296308801e-11
AGR2,3.082408824769386,4.6473053089196114e-11
KLF5,2.0412705922234573,6.853175741412473e-07
SFN,2.255146051864486,3.4577726965175806e-10
LAMB3,2.9229351436248647,2.677504677640821e-14
RGS16,2.041481005883317,5.436388252183518e-07
ECM1,2.002760068878237,6.297574856420285e-07
MALL,2.113734284539073,1.0936346349065043e-06
ABAT,-2.1299255091750724,4.096348082269144e-06
CEACAM1,2.5323279449694147,4.789680181376705e-10
DLK1,-2.2719595154330143,0.0002490018085234744
ADH1B,-2.111585453941639,4.7037194610417933e-05
ADH1B,-2.110872483786832,5.0020788836820645e-05
REG1A,-2.398465857620006,0.0045217003471421085
KLK10,3.861876588894629,1.0829826089329004e-09
PHLDA2,2.5585441421538175,1.1054570385673702e-09
VILL,2.3578055783094674,6.496138676180584e-09
CELA3A,-3.2176836599748784,0.009781002474881173
IGFBP3,2.6234861427997243,1.2930429850505387e-09
ANXA10,2.549271209821266,1.931833426237277e-05
DNASE1,-2.19095028641285,7.439618511102567e-05
C6,-2.0932974504841497,0.00020001832283126004
NR5A2,-2.0570218023361706,2.668386928623357e-05
GNMT,-2.533522547301362,2.68655065603163e-05
P2RX1,-2.1659277928819014,5.284336528479477e-06
INHBA,2.502640084841877,1.439771379996376e-07
NQO1,2.940179753108672,2.7993586262192977e-12
PNLIPRP1,-3.728083894444697,0.0002391815148078767
SLC4A4,-2.040827159861848,0.00038380787185228146
POSTN,2.545637486711913,5.151954787650024e-06
TRIM29,2.7728483313336145,5.849526109454885e-12
ALB,-3.656661300962895,0.00018136436100637098
IGHG1 /// IGHG2 /// IGHM /// IGHV4-31 /// MIR8071-1 /// MIR8071-2,2.5552749123961283,0.0009551722216860746
SULT1C2,2.0560022214149827,8.568336578921601e-05
SLC4A4,-2.0831235674913007,0.00013721059078199578
CXCL8,2.154516825642272,2.2062705899162115e-05
CEACAM6,3.387197290977314,4.563672513216591e-08
CELA3A,-3.1144606540889717,0.011838845539219139
PNLIPRP2,-4.397250439934836,0.0005934858668919237
PLAUR,2.0212072102667635,1.42318948904864e-09
IGFBP3,2.383841914824259,5.44691019511251e-10
JUP /// KRT17,2.52871900251327,5.004424560414408e-08
SULF1,2.000322456663386,7.501109544115025e-06
SULF1,2.2104411838703886,3.0249491770049446e-06
SULF1,2.304835442499038,2.0157263823889023e-06
GPRC5A,3.0237292229586075,6.989470371426627e-10
LCN2,2.95769704846348,1.6634471889142508e-07
IL1RN,2.84459753371099,9.745072390428103e-12
CBS,-2.2273513609443087,3.645966689408292e-05
CEMIP,2.2553429949493107,5.545582688295482e-08
AHNAK2,2.6688030613510496,7.803964597622772e-09
PRSS3,-2.3256019810708537,0.0042779045140247
SPRR1A,2.2946757680872087,0.0018973567281050352
SST,-2.073480085949288,0.004375078839909669
AF070581,-2.2588495606849315,1.0178791354679426e-05
CLDN18,4.485713682492108,5.43771832370191e-09
MYRIP,-2.078166525775055,1.1272762230844064e-08
MUC5AC,2.1602268559705635,7.737867170536546e-05
GP2,-3.1850349622293574,0.005148529789217639
GP2,-2.1891992644795915,0.00020465728406776165
CTRL,-3.8780426550206593,0.0007719512481179669
MUC5AC,2.5251002544101735,4.364478735512369e-06
CTRB2,-3.0734457829838697,0.0074089496620080445
TFF2,2.53811412414616,2.6055975067161138e-05
MTUS2,-2.0251304949377897,1.3866827752425702e-06
CXCL5,3.8516080494693252,1.385218474815426e-07
CXCL5,2.9113461373887013,4.213054078557006e-06
UGT1A1 /// UGT1A10 /// UGT1A3 /// UGT1A4 /// UGT1A5 /// UGT1A6 /// UGT1A7 /// UGT1A8 /// UGT1A9,2.9129767345112056,8.748923489022308e-08
PRSS3P2,-2.3785212847336465,0.0037686335743213418
DIRAS3,-2.0240745655907646,3.796530597421717e-07
PRSS2,-2.2940053225516053,0.008736564437069256
KLK1,-2.8535084320358814,0.0003284164967679893
GATM,-2.4047679392303873,8.160855218880103e-05
MUC4,3.2472762577625507,1.3681633414398016e-07
MUC4,2.356390326172968,4.480899537722471e-06
KYNU,2.05021056137934,6.302035235496007e-07
COL10A1,2.624374941803016,3.967930248602217e-07
MT1M,-2.1570782139630604,5.441890035374718e-09
S100A6,2.067519932755227,3.0330887551424023e-09
HN1,2.114719632705006,2.1971269990993282e-09
MLPH,2.20526886121304,2.459055578824168e-09
BEX1,-2.3093799811600992,1.7654483051854827e-05
PLEK2,2.0423505376494604,2.042979514250645e-10
S100A14,2.157297347022568,5.308551511955059e-09
MUC13,2.115774240348607,4.451319290721962e-07
SYBU,-2.0674386037310764,1.9693267894577104e-06
EPS8L1,2.0798513520600945,2.2947429893533637e-09
TMPRSS4,3.75152534737521,2.3575277251787076e-13
KRT23,2.134489314114151,0.00020075052802385934
SPRR3,2.1506072375322263,0.0010091119543491466
PLAC8,2.8643268597110976,6.071326872417973e-08
EPS8L3,2.486423906265083,8.460783025345551e-09
GCNT3,2.652373294895572,8.226254885824529e-09
CLIC3,2.052301901466495,3.2927425024677445e-08
KCNJ16,-2.456286509124406,9.158229473926261e-05
TMC5,2.510432681949333,2.636760927559694e-08
DUOX2,2.686744517812504,5.204054402614028e-06
ECT2,2.170580982268286,5.2911521171710734e-11
SLC6A14,3.856166738445189,2.0777747713553234e-10
DHRS9,2.0221948393138693,5.4944853496025104e-05
LINC00339,-2.0007470837061985,7.717591680879824e-07
SLCO4A1,2.2800982202670856,5.972749714703694e-08
SLC16A10,-2.2054815790294757,2.9505152900953768e-08
TRHDE,-2.1920087750092256,6.7067677987333655e-06
ERO1LB,-2.252221944467274,1.3912718242871041e-06
STYK1,2.0915094390755513,3.796555825644387e-11
CUZD1,-3.6313673519925382,0.0007919471332185188
ARL14,2.1357297249972467,3.7367367824261016e-05
ARNTL2,2.118638470226237,1.0236513143208486e-09
CLDN18,3.232267380154975,5.2394614414321e-07
CLDN18,3.6029930151429275,6.234364883348015e-08
TEX11,-2.050496349005287,0.00019664939045066225
RBPJL,-2.5594473915842157,0.0001326600980327002
LEF1,2.070265164457495,4.969701381387666e-06
EPS8L1,2.189881394386688,1.046503941302905e-08
PAIP2B,-2.2507456432813915,1.8225933958241175e-06
BACE1,-2.0896318016406066,1.179935083321052e-05
BACE1,-2.0441848419455892,7.896523475297706e-06
ACSL5,2.3198706311677078,4.932792810831572e-07
ANLN,2.172921775507384,1.1271004125730953e-10
MUC13,2.1510081999814767,4.491148079704065e-06
EGLN3,2.0198774565529987,1.061461188849731e-07
TMC5,2.4308896264890305,1.0617869724937832e-08
GJB2,2.8562899198704366,4.467424106786429e-10
C15orf48,2.0736229948273577,3.134057561311777e-10
C19orf33,3.3809371955521392,4.3786085355418167e-10
SLC4A11,2.2833338948101454,2.2651134062067568e-11
GUCA1C,-2.2220049109561772,8.91005055165484e-05
TMPRSS3,2.2943127008487783,1.0343669452416786e-09
DHRS9,2.333572103097327,1.3445109009176317e-05
DHRS9,2.435280508042591,9.362903351438139e-06
CDCA7,2.0559794274635474,1.814218127603853e-07
PDK4,-2.33030567190679,3.364863692489342e-09
ABHD17C,2.317235766171685,2.2142717753781945e-11
SLC1A2,-2.123550181829709,1.9352516900484113e-05
CTHRC1,2.1504259526175957,3.248428695877492e-05
COL8A1,2.045757637618954,5.6051504489502944e-05
KIAA1324,-2.6761629223370464,3.3061163654700113e-06
ITGB6 /// LOC100505984,2.332992814777759,5.458733553708556e-09
INHBA,2.468861991980454,6.95500919263603e-07
ITGA2,2.3745367773577835,2.3235866096824984e-11
ERP27,-3.207866718513213,0.0004966005400530428
FOXQ1,2.040460624295028,3.8873645395830895e-09
LOC102725271 /// NTM,2.0747058646611873,3.3763694906378184e-06
ST6GALNAC1,2.3026271401331053,5.4115571240747895e-06
ZG16B,2.815102201539826,2.775758629744659e-12
VSIG2,2.147564750626834,1.6870474974739243e-07
CLDN23,2.171094973866883,3.440206433799489e-07
MXD1,2.0137524790437085,2.096712361291382e-09
228854_at,-2.0204677048594766,6.792030161285681e-05
S100A6,2.5227557753138985,6.134054371486415e-10
AGR2,2.193671524277163,1.9477063611133475e-06
CAPN8,2.9084169633711383,2.4884219738145275e-09
CTA-445C9.15,-2.1735129093060475,4.5703800115081163e-05
SPX,-2.650860531108302,5.8955074921117406e-05
LEMD1,2.148851468944557,1.660740701246269e-07
SYCN,-3.720783638420204,0.003802253290514077
TMEM45B,2.3080447469091507,1.8056109238233594e-07
TMEM52,-2.0732829238146238,0.00012199275484560346
IGFL2,2.218977273101442,1.1468349150723879e-07
RP11-320N7.2,-2.1390159488049902,0.0002175917159133118
DPCR1,3.8142036569589712,1.7863643242399305e-07
REG3G,-2.0495435233196595,0.015560084930767168
COL12A1,2.0980085440604777,1.5605177823412002e-06
ERO1LB,-2.311058095957753,2.0367899878069813e-06
SCEL,2.0830776505662327,9.780533730092271e-07
EPPK1,2.106832225165392,1.6712860361634588e-07
EPPK1,2.271179386820565,1.7826605758094247e-08
CLDN18,4.643017526016561,9.078552401651222e-09
TEX11,-2.6659239785622932,0.0001957869594549322
TEX11,-2.4598714135511366,0.00024547298440003593
235915_at,-2.267411584531866,1.6421477940798545e-05
235965_at,-2.7486115963436926,3.757797970315674e-06
PPAPDC1A,2.0224373865309797,4.3672882467129065e-07
GALNT5,2.30017385123673,3.4710767840257135e-11
SLC16A10,-2.2762211923307683,1.5138839378056225e-07
AF070581,-2.188469769506802,1.1477624810657899e-05
TMED6,-3.138540281947632,3.873390667238159e-05
SDR16C5,3.3866347586412093,2.952742877778668e-11
FAM150B,-2.763629686449431,2.1059946385047876e-07
ANKRD22,2.1065107023023306,1.2175219287103527e-07
GPR110,2.075432366670837,1.8736077009889068e-08
LINC01133,2.3866415759669573,1.0616542130240074e-06
KLK7,2.1231621603484965,3.0333933792294163e-05
TMC5,2.12050739794799,3.696531983084697e-07
LOC102724257 /// TMC5,2.4582296665804235,1.435999983230906e-07
DPCR1,2.9433485434118127,2.6778448217510695e-06
XDH,2.168725785021485,1.136340729981479e-06
242397_at,2.1428494790586954,1.870424831366957e-05
KIAA1324,-2.0043564015768136,3.3094345842797125e-07
VSIG1,2.5945941227709186,1.8495469099574315e-05
SFTA2,2.4878777687755833,4.2666968024760114e-08
SGPP2,2.2474475225332355,2.9801542035146955e-10
SFN,2.788469695038139,5.62566880284448e-11
SFN,3.455744724189417,3.0007188446357826e-11
COL11A1,3.481564927265441,2.2945514144952622e-08
PI3,2.3390294978494457,1.6595008728021086e-06
EPS8L1,2.064194822328784,3.796226298124091e-08
